Wall time,Step,Reward
1715364297,390400,-92.67170715
1715364331,390528,-93.47132874
1715364363,390656,-93.65516663
1715364395,390784,-94.2290802
1715364426,390912,-94.21092224
1715364458,391040,-93.95597076
1715364489,391168,-93.78056335
1715364521,391296,-93.30661011
1715364553,391424,-93.62683868
1715364584,391552,-93.56851959
1715364616,391680,-94.15843964
1715364647,391808,-94.07480621
1715364679,391936,-93.95813751
1715364711,392064,-93.94517517
1715364742,392192,-94.07273865
1715364774,392320,-94.02153015
1715364805,392448,-94.14508057
1715364837,392576,-94.60486603
1715364869,392704,-94.95435333
1715364900,392832,-94.99396515
1715364932,392960,-95.4006424
1715364964,393088,-95.35340881
1715364995,393216,-94.95612335
1715365027,393344,-94.72903442
1715365058,393472,-94.50737
1715365090,393600,-94.96121979
1715365122,393728,-94.9076767
1715365153,393856,-95.58431244
1715365185,393984,-95.45214844
1715365216,394112,-96.08236694
1715365251,394240,-97.29042816
1715365283,394368,-97.15648651
1715365314,394496,-94.82225037
1715365346,394624,-95.21726227
1715365377,394752,-95.18000793
1715365409,394880,-95.31462097
1715365441,395008,-95.29582214
1715365472,395136,-95.55647278
1715365504,395264,-95.30532074
1715365535,395392,-95.6611557
1715365567,395520,-97.25819397
1715365599,395648,-96.5433197
1715365630,395776,-96.55962372
1715365662,395904,-96.85733795
1715365693,396032,-96.9568634
1715365725,396160,-96.37682343
1715365757,396288,-96.73604584
1715365788,396416,-96.74541473
1715365820,396544,-96.69804382
1715365852,396672,-97.31723022
1715365883,396800,-97.57051086
1715365915,396928,-97.95680237
1715365946,397056,-97.76945496
1715365978,397184,-98.83866882
1715366013,397312,-98.41188812
1715366044,397440,-99.62513733
1715366076,397568,-99.96807861
1715366107,397696,-99.7828598
1715366139,397824,-101.0752487
1715366171,397952,-101.0988922
1715366202,398080,-101.9166946
1715366234,398208,-102.201767
1715366265,398336,-102.7163315
1715366300,398464,-103.776329
1715366332,398592,-103.4423141
1715366363,398720,-103.79776
1715366395,398848,-103.4932938
1715366426,398976,-103.2055435
1715366458,399104,-103.341629
1715366490,399232,-104.1653595
1715366521,399360,-105.1063766
1715366553,399488,-106.2386703
1715366584,399616,-106.5754776
1715366616,399744,-106.5472488
1715366648,399872,-106.8733444
1715366679,400000,-108.6356201
1715366711,400128,-109.0569229
1715366743,400256,-108.8029861
1715366774,400384,-108.597374
1715366806,400512,-107.7357025
1715366837,400640,-107.9157867
1715366869,400768,-111.2601318
1715366901,400896,-111.7887802
1715366932,401024,-112.8197327
1715366964,401152,-112.815834
1715366995,401280,-113.1903915
1715367027,401408,-113.7003098
1715367059,401536,-113.9005203
1715367090,401664,-113.7596207
1715367122,401792,-114.177063
1715367153,401920,-115.2389297
1715367185,402048,-115.229393
1715367217,402176,-114.1532898
1715367248,402304,-114.313942
1715367280,402432,-114.385231
1715367311,402560,-114.3093948
1715367343,402688,-114.5001602
1715367375,402816,-115.0360031
1715367406,402944,-114.85186
1715367438,403072,-114.1646652
1715367469,403200,-113.8423767
